Season Number,Startup Name,Industry_Cleaned,Pitchers City,Pitchers State,Pitchers Average Age,Gross Margin,Net Margin,Yearly Revenue_M_INR,Monthly Sales_M_INR,Original Ask Amount_M_INR,Valuation Requested_M_INR,Total Deal Amount_M_INR,Deal Valuation_M_INR,Total Deal Equity,Total Deal Debt_M_INR,Royalty Percentage,Number of Sharks in Deal,Deal_Success_Flag,Received Offer,Accepted Offer,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Founder_Type,Namita Investment Amount_M_INR,Vineeta Investment Amount_M_INR,Anupam Investment Amount_M_INR,Aman Investment Amount_M_INR,Peyush Investment Amount_M_INR,Ritesh Investment Amount_M_INR,Amit Investment Amount_M_INR,Guest Investment Amount_M_INR
2,ThePlatedProject,Business Services,Mumbai,Maharashtra,Middle,,,0.0,0.0,7.5,375.0,7.5,200.0,3.75,0.0,,3.0,1,1,1.0,1,1.0,,0,Male Team,2.5,2.5,0.0,2.5,0.0,0.0,0.0,0.0
2,VsnapU,Business Services,Goa,Goa,Middle,,,0.0,1.5,5.0,333.3333333,0.0,0.0,,0.0,,,0,0,,4,4.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,TheHealthyFactory,F&B,Mumbai,Maharashtra,Young,56.0,,0.0,0.0,7.5,357.1428571,0.0,0.0,,0.0,,,0,0,,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Brevistay,Business Services,"Dehradun,Nainital,Lucknow","Uttarakhand,Uttar Pradesh",Young,,,0.0,4.2,10.0,602.4096386,0.0,0.0,,0.0,,,0,0,,5,5.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,SoulUp,Business Services,Bangalore,Karnataka,Middle,,,0.0,0.0,5.0,166.6666667,5.0,100.0,5.0,0.0,,1.0,1,1,1.0,2,,2.0,0,Female Team,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,TheBigBookBox ChapterOneBooks,Lifestyle/Home,Gopalganj,Bihar,Middle,,,14.0,0.0,5.0,62.5,0.0,0.0,,0.0,,,0,0,,2,1.0,1.0,0,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Rubans,Beauty/Fashion,Bangalore,Karnataka,Middle,,,510.0,0.0,15.0,3000.0,10.0,1000.0,1.0,5.0,,3.0,1,1,1.0,2,1.0,1.0,1,Mixed Team,3.3329999999999997,3.3329999999999997,0.0,3.3329999999999997,0.0,0.0,0.0,0.0
2,SameNotification,Technology/Software,"Ahmedabad,Mirzapur","Gujarat,Uttar Pradesh",Middle,,,0.0,0.0,2.5,16.66666667,0.0,0.0,,0.0,,,0,0,,1,1.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,BottomLineSprays,Lifestyle/Home,Ahmedabad,Gujarat,Middle,,,0.0,0.2,3.5,70.0,0.0,0.0,,0.0,,,0,0,,2,1.0,1.0,1,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LilGoodness,F&B,Bangalore,Karnataka,Middle,65.0,,0.0,14.5,10.0,1000.0,5.0,500.0,1.0,5.0,,1.0,1,1,1.0,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
